ticker,date,pattern,status,rs_1m_pct,rs_3m_pct,rs_6m_pct
SHLS,2022-05-17,DT SW,OK,-4.416403785488965,-12.110224800580127,-65.61702127659575
DLO,2022-05-18,DT,OK,-26.582761250953467,-43.41563786008231,-58.37837837837838
TME,2022-05-17,DT SW,OK,-15.478615071283086,-29.66101694915254,-53.10734463276836
CAN,2022-05-19,DT SW,OK,-25.943396226415093,-42.700729927007295,-70.65420560747664
BJ,2022-05-19,DT,OK,-23.202990224266816,-17.24244771494965,-13.23696605489686
UUUU,2022-05-17,DT,OK,-44.67289719626167,-10.843373493975905,-46.13284804367607
DECK,2022-05-20,DT SW,OK,-21.69677057157714,-24.350445311718218,-48.085177102061174
GOOS,2022-05-19,DT,OK,-20.426956885726245,-37.508218277449046,-64.18613413715147
WOOF,2022-05-24,DT,OK,-31.743805516596545,-15.704387990762125,-30.14354066985646
CAL,2022-05-25,DT,OK,-6.853582554517135,3.2051282051281937,-25.250000000000007
CD,2022-05-26,DT SW,OK,23.505976095617555,11.111111111111116,-34.73684210526316
BABA,2022-05-26,DT SW,OK,-2.000238123586129,-24.43771229229781,-38.41837498129582
IQ,2022-05-26,DT SW,OK,11.180124223602483,-10.499999999999998,-46.084337349397586
WSM,2022-05-26,DT,OK,-15.06242151141316,-18.367057152999642,-45.63593380614657
M,2022-05-26,DT,OK,-21.043978627209192,-23.618290258449292,-42.87838239666964
ZM,2022-05-24,DT,OK,-10.821603274433468,-29.444751599399734,-64.45284520493435
PANW,2022-05-20,DT,OK,-30.31131152520512,-12.575670152662576,-15.06352574605817
PDD,2022-05-27,DT SW,OK,12.052378407268826,-18.818973862536303,-48.46361848574238
MRVL,2022-05-27,DT,OK,0.4760225669957707,-17.105454545454545,-22.84050907121581
ZS,2022-05-27,DT,OK,-30.587028716546193,-35.93418976786117,-58.49855461792275
BEKE,2022-05-31,DT SW,OK,-13.673929376408722,-40.80370942812983,-45.233555767397526
HTHT,2022-05-31,DT SW,OK,1.9555850182300327,-25.62862669245648,-22.46029745399546
ESTC,2022-06-02,DT,OK,-19.943130412304523,-27.521647554411423,-60.15695355718513
DLTR,2022-05-26,DT,OK,-20.595577746077034,-1.8658635128186218,-7.684334185612607
CPRI,2022-06-01,DT U,OK,2.180293501048225,-26.6736873777644,-19.076871990702305
CHWY,2022-06-02,DT,OK,-22.653934804082986,-47.927288849479055,-65.5874597128626
PATH,2022-06-02,DT,OK,-9.369951534733456,-50.397877984084886,-65.11917098445596
MDB,2022-06-02,DT,OK,-32.753969798937675,-36.64422144784761,-51.45352338887774
STNE,2022-06-03,DT SW,OK,8.091286307053934,-0.5725190839694694,-30.533333333333335
FUTU,2022-06-06,DT SW,OK,6.840579710144934,9.800417039022925,-10.728990070234923
GTLB,2022-06-07,DT SW,OK,-16.63527934714375,5.257595772787327,-54.72727272727273
PLAY,2022-06-07,DT U,OK,-15.494555353901996,6.85599541021229,23.507957559681692
OKTA,2022-06-03,DT U,OK,-20.421338769962617,-44.23145612572925,-52.705977382875616
YMM,2022-06-08,DT SW,OK,34.232715008431704,2.445302445302455,-27.23948811700182
KC,2022-06-08,DT SW,OK,46.01769911504425,-6.6037735849056585,-66.71149966375252
BRZE,2022-06-14,DT SW,OK,-0.3727549983056688,-8.638906152890002,-57.25501599302123
SIG,2022-06-09,DT U,OK,-8.971169325332939,-7.7561916061100415,-30.323736977708073
BZ,2022-06-24,DT SW,OK,39.052924791086355,-8.100147275405,-28.255245760275937
SI,2022-07-19,DT SW,OK,1.0093167701863193,-44.95684548993062,-52.29889271833981
ENPH,2022-07-27,U,OK,8.926861232925054,37.11928934010152,68.69633099141296
WFRD,2022-07-28,U,OK,-13.230240549828187,-39.91671624033313,-31.77980412022965
RES,2022-07-27,DT SW,OK,-4.360465116279066,-37.3929590865842,17.500000000000004
WING,2022-07-28,U,OK,26.465364120781555,2.4039449352784015,-32.520985648524224
IMPP,2022-07-27,DT,OK,-4.296875,-49.90287291687967,-64.4927536231884
ETSY,2022-07-28,DT U,OK,18.41289522628642,-4.604934571970832,-34.196926893130296
ASO,2022-06-07,UDS,OK,-8.32474226804123,18.764607679465772,-13.790596219098394
RIG,2022-08-02,SW,OK,-3.3033033033032955,-14.361702127659559,-1.2269938650306678
PINS,2022-08-02,DT SW,OK,10.077092511013209,-2.5828460038986423,-25.521609538002988
RNG,2022-08-03,DT,OK,-10.012674271229393,-43.02418892582827,-71.83976429259448
HRMY,2022-08-02,CPH,OK,0.9432027885995398,9.302841918294845,44.92198999116867
SPT,2022-08-03,DT SW,OK,-10.775566231983525,-18.952618453865334,-24.473493100944076
RUN,2022-08-04,DT U,OK,23.404255319148938,34.00174367916302,18.18531334102267
EDIT,2022-08-03,DT U,OK,30.89753772835584,15.48703573931325,-13.4453781512605
CLAR,2022-08-02,DT SW,OK,8.425487098472884,-7.874720357941845,-4.852125693160813
DQ,2022-08-03,DT SW,OK,-12.7740840288584,52.81288723667905,53.6889332003988
VRNS,2022-08-02,DT,OK,-13.40381991814461,-41.226851851851855,-24.61401425178147
FIGS,2022-08-05,DT U,OK,15.240083507306878,-33.05033353547604,-49.726775956284165
MNDY,2022-08-08,DT SW,OK,12.58587282015149,-2.997419942328128,-29.28192077893339
NET,2022-08-05,DT SW,OK,16.047666335650447,-35.365044247787615,-41.45290581162324
DKNG,2022-08-05,DT U,OK,32.255456750202114,4.00508582326764,-24.919687930243228
GDRX,2022-08-09,DT U,OK,18.112633181126327,-39.0894819466248,-70.69486404833837
FUBO,2022-08-05,DT,OK,17.85714285714286,-35.0109409190372,-71.38728323699422
TEAM,2022-08-05,DT SW,OK,10.853981236468613,-1.8278653600340866,-26.68872697190493
WTI,2022-08-08,U,OK,14.143920595533487,-19.720767888307165,4.545454545454519
PUBM,2022-08-09,DT U,OK,3.677758318739066,-17.89181692094313,-32.39436619718309
PLRX,2022-08-09,UDS,OK,114.30180180180179,279.84031936127747,80.37914691943129
ATRA,2022-08-09,U,OK,-57.294117647058826,-47.54335260115607,-75.15400410677618
ARRY,2022-08-10,U,OK,56.058020477815674,150.20519835841313,91.9202518363064
LMND,2022-08-09,DT SW,OK,17.281644091546,18.164705882352948,-12.721584984358703
INO,2022-08-10,DT SW,OK,7.969151670951158,-11.392405063291145,-44.736842105263165
