ticker,chart_symbol,former_symbols,windows,n_windows,start,end,days,mktcap_bucket,best_rank,num_flagpoles,hh_dates,resistances,latest_resistance,is_valid_flag,notes
MYGN,MYGN,,1M,1,2022-08-04,2022-08-05,1,mid,13.0,3.0,2022-08-03; 2022-08-08; 2022-08-11,27.64; 28.0; 28.18,28.18,,
MYGN,MYGN,,1M+3M+6M,3,2023-03-06,2023-03-21,15,small,5.0,2.0,2023-03-06; 2023-03-23,23.88; 24.05,24.05,,
MYGN,MYGN,,3M+6M,2,2023-11-14,2023-11-17,3,small,13.0,1.0,2023-12-14,22.16,22.16,,
MYOK^20,MYOK,,1M+3M+6M,3,2017-08-08,2017-10-02,55,small,1.0,4.0,2017-08-09; 2017-08-28; 2017-09-20; 2017-11-03,37.875; 46.8; 49.55; 43.9,43.9,,
MYOK^20,MYOK,,1M+3M+6M,3,2017-12-26,2018-03-09,73,small,4.0,2.0,2018-01-23; 2018-02-27,55.4; 62.83,62.83,,
MYOK^20,MYOK,,1M+3M+6M,3,2018-08-09,2018-08-17,8,mid,3.0,1.0,2018-08-09,63.0,63.0,,
MYOK^20,MYOK,,3M+6M,2,2018-10-04,2018-10-05,1,mid,6.0,2.0,2018-11-02; 2018-11-08,58.92; 64.4,64.4,,
MYOK^20,MYOK,,1M+3M+6M,3,2018-11-23,2018-12-13,20,mid,7.0,2.0,2018-11-26; 2018-12-03,60.695; 63.76,63.76,,
MYOK^20,MYOK,,1M+6M,2,2019-03-14,2019-03-25,11,small,8.0,3.0,2019-03-21; 2019-04-05; 2019-04-29,56.025; 54.67; 51.295,51.295,,
MYOK^20,MYOK,,1M+3M+6M,3,2019-09-24,2019-10-03,9,mid,4.0,2.0,2019-09-23; 2019-10-21,61.88; 58.92,58.92,,
MYOK^20,MYOK,,1M+3M+6M,3,2020-05-13,2020-06-04,22,mid,1.0,2.0,2020-05-18; 2020-06-23,126.301; 106.2061,106.2061,,
MYOV^23,MYOV,,1M+3M+6M,3,2019-11-19,2019-12-18,29,small,1.0,1.0,2019-12-03,19.58,19.58,,
MYOV^23,MYOV,,1M,1,2020-12-03,2020-12-10,7,mid,9.0,3.0,2020-12-02; 2020-12-11; 2020-12-28,25.03; 27.995; 30.8999,30.8999,,
MYOV^23,MYOV,,6M,1,2022-09-12,2022-09-26,14,small,13.0,2.0,2022-09-12; 2022-10-04,20.6; 25.7,25.7,,
MZOR^18,MZOR,,1M+3M+6M,3,2017-05-04,2017-06-02,29,small,1.0,3.0,2017-05-10; 2017-05-18; 2017-07-12,44.0; 45.64; 42.49,42.49,,
MZOR^18,MZOR,,1M+3M+6M,3,2017-11-02,2017-11-17,15,small,9.0,1.0,2017-10-31,65.97,65.97,,
