IPO Only
2025-07-01

Ticker,Name,Start,End,Pct,Rank,Sector,Industry,MktCap,Price,EPSExclXorGr%PYQ,SalesPSGr%PYQ,EPSExclXorGr%TTM,SalesPSGr%TTM,ROE%TTM,#Institution,Inst%Own,InstNetPurch,
FROG,JFrog Ltd.,41.35,90.88,119.78,67.72,Technology,N/A,4955.91,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
CORZ,"Core Scientific, Inc.",17.56,25.59,45.73,67.46,Finance,N/A,4897.14,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
INGM,Ingram Micro Holding Corp.,21.40,27.43,28.19,67.31,Technology,N/A,4848.64,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
DJT,Trump Media & Technology Group Corp.,18.19,7.74,-57.45,67.15,Technology,N/A,4821.53,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
PONY,"Pony.ai, Inc.",13.19,6.95,-47.31,66.92,Consumer Cyclicals,N/A,4766.94,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
LIF,"Life360, Inc.",63.92,55.36,-13.39,66.90,Technology,N/A,4753.58,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
PECO,"Phillips Edison & Co., Inc.",33.85,41.62,22.95,66.85,Finance,N/A,4749.89,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
KNF,Knife River Corp.,81.21,83.65,3.00,66.72,Non-Energy Materials,N/A,4689.12,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
TFPM,Triple Flag Precious Metals Corp.,23.71,29.97,26.39,66.56,Non-Energy Materials,N/A,4639.18,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
ATAT,Atour Lifestyle Holdings Ltd.,32.20,31.80,-1.25,66.36,Consumer Services,N/A,4506.24,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
